code,division,division_name,level,title,includes,may_include,alternate_terms,see,see_also,notes,discussion,parent_code,related_codes,chunk_text
33 05 31.21,33,UTILITIES,4,Ribbed Polyvinyl Chloride Gravity Pipe,,,,,,,,33 05 31,[],33 05 31.21 — Ribbed Polyvinyl Chloride Gravity Pipe
33 05 31.23,33,UTILITIES,4,Dual-Wall Polyvinyl Chloride Profile Pipe,,,,,,,,33 05 31,[],33 05 31.23 — Dual-Wall Polyvinyl Chloride Profile Pipe
33 05 31.26,33,UTILITIES,4,Polyvinyl Chloride Sleeve Pipe,,,,,,,,33 05 31,[],33 05 31.26 — Polyvinyl Chloride Sleeve Pipe
33 05 31.27,33,UTILITIES,4,Polyvinyl Chloride Perforated Drainage Pipe,,,,,,,,33 05 31,[],33 05 31.27 — Polyvinyl Chloride Perforated Drainage Pipe
33 05 31.29,33,UTILITIES,4,Polyvinyl Chloride Electrical Duct,,,,,,,,33 05 31,[],33 05 31.29 — Polyvinyl Chloride Electrical Duct
33 05 31.33,33,UTILITIES,4,ABS Utility Pipe,,,,,,,,33 05 31,[],33 05 31.33 — ABS Utility Pipe
33 05 33,33,UTILITIES,3,Polyethylene Utility Pipe,,,,,,,,33 05 00,[],33 05 33 — Polyethylene Utility Pipe
33 05 33.13,33,UTILITIES,4,"Corrugated-Wall, Smooth Interior HDPE Gravity Pipe",,,,,,,,33 05 33,[],"33 05 33.13 — Corrugated-Wall, Smooth Interior HDPE Gravity Pipe"
33 05 33.23,33,UTILITIES,4,Polyethylene Pressure Pipe and Tubing (AWWA C901 and AWWA C906),,,,,,,,33 05 33,[],33 05 33.23 — Polyethylene Pressure Pipe and Tubing (AWWA C901 and AWWA C906)
33 05 33.33,33,UTILITIES,4,"Corrugated, Perforated HDPE Drainage Pipe",,,,,,,,33 05 33,[],"33 05 33.33 — Corrugated, Perforated HDPE Drainage Pipe"
33 05 33.36,33,UTILITIES,4,"Corrugated, Non-Perforated HDPE Drainage Pipe",,,,,,,,33 05 33,[],"33 05 33.36 — Corrugated, Non-Perforated HDPE Drainage Pipe"
33 05 33.53,33,UTILITIES,4,HDPE Gas Utility Pipe,,,,,,,,33 05 33,[],33 05 33.53 — HDPE Gas Utility Pipe
